id,title,score,members,demographic,tags
1,Monster,9.16,283386.0,Seinen,"Award Winning, Drama, Mystery, Adult Cast, Psychological"
2,Berserk,9.47,780929.0,Seinen,"Action, Adventure, Award Winning, Drama, Fantasy, Horror, Gore, Military, Psychological"
3,20th Century Boys,8.93,303909.0,Seinen,"Award Winning, Drama, Mystery, Sci-Fi, Historical, Psychological"
4,Yokohama Kaidashi Kikou,8.64,84324.0,Seinen,"Award Winning, Sci-Fi, Slice of Life, Iyashikei"
7,Hajime no Ippo: Fighting Spirit!,8.74,100257.0,Shounen,"Award Winning, Sports, Combat Sports"
8,Full Moon wo Sagashite,8.02,40577.0,Shoujo,"Comedy, Drama, Fantasy, Romance, Supernatural, Music, Showbiz"
9,Tsubasa: RESERVoir CHRoNiCLE,8.29,84527.0,Shounen,"Action, Adventure, Drama, Fantasy"
10,xxxHOLiC,8.37,90780.0,Seinen,"Comedy, Drama, Mystery, Supernatural"
11,Naruto,8.08,439889.0,Shounen,"Action, Adventure, Fantasy, Martial Arts"
12,Bleach,7.91,419471.0,Shounen,"Action, Adventure, Award Winning, Supernatural"
13,One Piece,9.22,685832.0,Shounen,"Action, Adventure, Fantasy"
14,Rave Master,7.83,52538.0,Shounen,"Adventure, Comedy, Fantasy"
15,Negima! Magister Negi Magi,7.91,77249.0,Shounen,"Action, Adventure, Comedy, Fantasy, Romance, Supernatural, Ecchi, Harem, Martial Arts, School"
16,Love Hina,7.77,70690.0,Shounen,"Award Winning, Comedy, Romance, Ecchi, Harem"
17,Kare Kano: His and Her Circumstances,8.13,41567.0,Shoujo,"Comedy, Drama, Romance, School"
18,Kodocha: Sana's Stage,8.29,24772.0,Shoujo,"Award Winning, Comedy, Drama, Romance, Slice of Life, Love Polygon, School, Showbiz"
19,GetBackers,7.62,16055.0,Shounen,"Action, Comedy, Drama, Mystery, Supernatural, Ecchi"
20,Hikaru no Go,8.11,49711.0,Shounen,"Award Winning, Comedy, Drama, Supernatural, Strategy Game"
21,Death Note,8.68,424529.0,Shounen,"Supernatural, Suspense, Psychological"
22,Rurouni Kenshin: Meiji Swordsman Romantic Story,8.53,103891.0,Shounen,"Action, Drama, Historical, Samurai"
23,Ranma 1/2,8.0,57698.0,Shounen,"Action, Comedy, Romance, Ecchi, Harem, Martial Arts, School"
24,D.Gray-man,8.28,169319.0,Shounen,"Action, Adventure, Fantasy, Urban Fantasy"
25,Fullmetal Alchemist,9.04,318910.0,Shounen,"Action, Adventure, Award Winning, Drama, Fantasy, Military"
26,Hunter x Hunter,8.77,307237.0,Shounen,"Action, Adventure, Fantasy"
27,X,8.09,28683.0,Shoujo,"Action, Drama, Fantasy, Supernatural, Psychological, Super Power"
28,Nana,8.81,169605.0,Shoujo,"Award Winning, Drama, Romance, Adult Cast, Love Polygon, Music"
29,Paradise Kiss,8.29,59998.0,Josei,"Drama, Romance, School, Visual Arts"
30,Ouran High School Host Club,8.5,135360.0,Shoujo,"Comedy, Drama, Romance, Crossdressing, Reverse Harem, School"
31,Love★Com,8.31,68739.0,Shoujo,"Award Winning, Comedy, Drama, Romance, School"
32,O-Parts Hunter,7.42,36052.0,Shounen,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural"
33,Pita-Ten,7.32,8482.0,Shounen,"Comedy, Drama, Fantasy, Romance"
34,Di Gi Charat,6.53,1870.0,Shounen,"Comedy, Fantasy, Sci-Fi"
35,Kamichama Karin,7.48,13107.0,Shoujo,"Comedy, Drama, Romance, Mahou Shoujo"
36,Phantom Thief Jeanne,7.78,21495.0,Shoujo,"Action, Drama, Romance, Supernatural, Mahou Shoujo, Reincarnation, School"
37,The Gentleman's Alliance Cross,7.83,27241.0,Shoujo,"Comedy, Drama, Romance, School"
38,+Anima,7.65,22219.0,Shounen,"Adventure, Fantasy"
39,Zombiepowder.,6.95,16664.0,Shounen,"Action, Adventure, Supernatural"
40,Black Cat,7.78,50907.0,Shounen,"Action, Adventure, Comedy, Fantasy"
41,Buso Renkin,7.22,18002.0,Shounen,"Action, Comedy, Fantasy, Supernatural, School"
42,Dragon Ball,8.45,179857.0,Shounen,"Action, Adventure, Fantasy, Martial Arts"
43,Eyeshield 21,8.46,82125.0,Shounen,"Sports, Team Sports"
44,Gin Tama,8.64,102994.0,Shounen,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai"
45,Strawberry 100%,7.74,49383.0,Shounen,"Comedy, Drama, Romance, Ecchi, Harem, School"
46,Kannade,6.81,423.0,Shounen,"Action, Mystery"
47,Reborn!,8.1,129361.0,Shounen,"Action, Comedy, Organized Crime, School, Super Power"
48,Pretty Face,7.55,19375.0,Shounen,"Comedy, Romance, Ecchi, Magical Sex Shift, School"
49,The Prince of Tennis,7.69,27875.0,Shounen,"Sports, School"
50,Shaman King,7.76,78481.0,Shounen,"Action, Adventure, Comedy, Supernatural, Super Power"
51,Slam Dunk,9.08,196880.0,Shounen,"Award Winning, Sports, School, Team Sports"
52,Whistle!,7.71,6582.0,Shounen,"Drama, Sports, Team Sports"
53,Yu Yu Hakusho,8.17,78002.0,Shounen,"Action, Award Winning, Comedy, Drama, Supernatural"
54,Yu-Gi-Oh!,7.68,44225.0,Shounen,"Action, Adventure, Comedy, Drama, Fantasy, Mystery, Supernatural, Historical, School, Strategy Game"
55,Aishiteruze Baby,7.88,23406.0,Shoujo,"Comedy, Drama, Romance, Childcare, School"
56,Caramel Diary,6.57,1004.0,Shoujo,"Comedy, Romance, School"
57,Hana-Kimi: For You in Full Blossom,8.27,38820.0,Shoujo,"Comedy, Drama, Romance, Crossdressing, Love Polygon, School"
58,W-Juliet,7.9,10559.0,Shoujo,"Comedy, Drama, Romance, Slice of Life, Crossdressing, Performing Arts, School"
59,√W.P.B.,,385.0,Shounen,"Action, Adventure, Comedy, Fantasy"
60,π,,533.0,Seinen,"Comedy, Romance, Ecchi, School"
61,"...But, I'm Your Teacher",6.46,1090.0,,"Boys Love, Drama, Erotica, Psychological"
62,± Junkie,6.16,1380.0,Shoujo,"Drama, Romance, School"
63,"""Aruto"" no ""A""",,269.0,Shoujo,"Drama, Romance, Music"
64,13 Nichi wa Kinyoubi?,6.75,896.0,Shoujo,"Mystery, Supernatural, School"
65,17-sai: Hajimete no H,6.44,4194.0,Shoujo,"Drama, Romance"
66,Ninja Nonsense,6.83,1199.0,Shounen,"Comedy, Gag Humor"
