id,title,score,members,demographic,tags
3,20th Century Boys,8.93,303909,Seinen,"Award Winning, Drama, Mystery, Sci-Fi, Historical, Psychological"
4,Yokohama Kaidashi Kikou,8.64,84324,Seinen,"Award Winning, Sci-Fi, Slice of Life, Iyashikei"
38,+Anima,7.65,22219,Shounen,"Adventure, Fantasy"
64,13 Nichi wa Kinyoubi?,6.75,896,Shoujo,"Mystery, Supernatural, School"
68,3.3.7 Byooshi!!,7.08,2680,Shounen,"Comedy, Drama, Romance, Ecchi"
79,Red River,8.27,26565,Shoujo,"Action, Adventure, Award Winning, Drama, Fantasy, Romance, Supernatural, Historical, Time Travel"
109,Wish,7.41,14783,Shoujo,"Fantasy, Romance, Supernatural"
122,Angel Cup,6.77,459,,"Comedy, Sports, Team Sports"
150,Blazin' Barrels,6.78,551,,"Action, Adventure, Comedy, Fantasy, Sci-Fi"
165,Cherry Juice,7.2,11362,Shoujo,"Comedy, Romance, School"
235,Open The Door Through Your Heart,7.06,1261,,"Boys Love, Erotica"
238,Dear Myself: World's End,6.97,1329,,Boys Love
318,Manga Sutra,7.25,16125,Seinen,"Comedy, Romance, Slice of Life, Ecchi"
338,Chrno Crusade,8.11,30337,Shounen,"Action, Adventure, Drama, Fantasy, Romance, Sci-Fi, Supernatural"
367,Hyper Police,7.17,1296,Shounen,"Action, Comedy, Fantasy, Supernatural, Ecchi"
375,Initial D,8.25,34136,Seinen,"Action, Drama, Racing"
435,Love or Money,,301,Shoujo,
437,Dream Gold,,231,Shounen,"Action, Fantasy, Mystery"
476,Peppermint,7.08,889,,"Comedy, Drama, Romance, School"
481,Planetes,8.23,62538,Seinen,"Award Winning, Drama, Sci-Fi, Slice of Life, Adult Cast, Psychological, Space, Workplace"
535,STONe,6.46,732,Seinen,"Action, Adventure, Sci-Fi"
551,The Tarot Café,7.67,7866,,"Boys Love, Comedy, Drama, Fantasy, Horror, Mystery, Romance, Supernatural"
552,Man of Many Faces,6.59,3722,Shoujo,"Comedy, Fantasy"
582,Kodomo no Jikan,7.79,22939,Seinen,"Comedy, Drama, Romance, Slice of Life, Ecchi, School"
623,Chikyu Misaki,7.12,1170,Shounen,"Adventure, Fantasy, Mystery"
656,Vagabond,9.27,447167,Seinen,"Action, Adventure, Award Winning, Historical, Samurai"
681,Moonlight Mile,6.92,1297,Seinen,"Adventure, Drama, Sci-Fi, Space"
720,Bamboo Blade,7.32,8311,Seinen,"Comedy, Sports, Combat Sports, School"
759,My Bride is a Mermaid,7.49,9286,Shounen,"Comedy, Romance, Ecchi, Harem, Organized Crime, Parody, School"
764,Kamui,7.17,2504,Shoujo,"Action, Adventure, Fantasy, Sci-Fi, Super Power"
779,Kashimashi: Girl Meets Girl,7.27,9328,,"Comedy, Drama, Girls Love, Love Polygon, Magical Sex Shift"
793,Wanted! Eiichiro Oda Before One Piece,7.31,16357,Shounen,"Action, Comedy"
816,The Sky Over My Spectacles,7.11,2379,,"Boys Love, Erotica"
823,Black Sun Silver Moon,7.45,1095,Shoujo,"Mystery, Supernatural, Mythology"
861,Togari,7.2,5340,Shounen,"Adventure, Supernatural, Psychological"
900,Akane-chan Overdrive,6.22,7423,Shoujo,"Comedy, Ecchi, Reincarnation"
912,Tomie,7.78,102101,Shoujo,"Drama, Horror, Supernatural, Gore"
920,Shion no Ou: The Flowers of Hard Blood.,7.39,2961,Seinen,"Drama, Mystery"
935,Dragon Drive,6.98,4248,Shounen,"Action, Adventure, Fantasy, Sci-Fi, Isekai"
944,Chuuka Ichiban!,7.36,1588,Shounen,"Comedy, Gourmet"
988,Shijou Saikyou no Deshi Kenichi,8.08,72901,Shounen,"Action, Comedy, Drama, Ecchi, Martial Arts"
998,No Bra,6.56,9625,Shounen,"Comedy, Romance, Ecchi, Crossdressing"
1012,Yamato Gensouki,6.48,1689,Shounen,"Action, Adventure, Fantasy"
1041,Ichiban!!!,7.19,959,Shoujo,"Comedy, Romance, School"
1061,Case Closed,8.28,64264,Shounen,"Adventure, Award Winning, Comedy, Mystery, Detective"
1107,Time Guardian,6.92,634,Shoujo,"Fantasy, Mystery"
